,baujahr,name,preis,baureihe,karrosserieform,kilometerstand,leistung,gewicht
0,2007,Saab 9-5 2,3.947,YS3E,Limousine (4-Türen),185.851,185,0
1,1984,Lancia Beta Coupe 1600,10.500,,Coupé,61.000,100,970
2,1957,Mercedes-Benz 220 S,150.000,W 180,Limousine (4-Türen),44.000,106,0
3,1990,Alfa Romeo 75 2,11.500,2a,Limousine (4-Türen),89.943,145,1200
4,1952,MG TD,38.000,,Cabriolet (Roadster),0,54,920
5,1994,Jaguar XJ12 6,13.500,X300,Limousine (4-Türen),70.605,311,0
6,2005,Aston Martin V12 Vanquish S,139.900,,Coupé,59.905,528,0
7,1951,Lancia Aurelia B10,19.500,,Limousine,0,56,0
8,1982,Alfa Romeo GTV 6 2,Auf Anfrage,,Coupé,0,158,0
9,1960,Jaguar XK 150 3,115.000,150,Cabriolet,114.764,269,0
10,1999,Land Rover Defender 90 Td5,33.982,,Geländewagen,0,122,0
11,2000,Porsche 911 Carrera,9.374,996,Coupé,61.211,300,1450
12,1968,Ford Escort 1100,29.295,Serie I,Limousine (2-Türen),55.000,40,0
13,1954,FIAT 500 C Belvedere,9.000,,Kombi,0,16,0
14,1979,Mercedes-Benz 280 SEL,29.500,W 116,Limousine (4-Türen),161.000,185,0
15,1995,Porsche 911 Carrera,107.000,993,Coupé,61.000,272,1450
16,2002,Porsche 911 Carrera 4S,61.000,996,Coupé,108.000,320,1450
17,2003,Porsche 911 Carrera 4S,61.000,996,Coupé,103.000,320,1450
18,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.000,265,1310
19,1997,Porsche Boxster,21.500,986,Cabriolet (Roadster),148.500,204,1300
20,1960,Mercedes-Benz 220 SE Cabriolet,89.995,W 128,Cabriolet,180.846,120,1400
21,1970,Porsche 911 2,95.000,"""Urmodell""",Coupé,12.400,180,1020
22,2018,Audi RS3 Sportback,39.000,8VA,Limousine (5-Türen),99.000,400,0
23,2018,Porsche 911 Targa 4 GTS,168.000,991.2,Cabriolet (Targa),10.915,450,0
24,1988,Alfa Romeo Huntsman Spyder,55.000,,Rennwagen (Roadster),0,175,0
25,2007,BMW Z4 ,27.900,E86,Coupé,79.800,265,1485
26,2019,Ford Mustang 5,Auf Anfrage,Mustang VI,Coupé (Fastback),72.476,450,0
27,2004,Porsche 911 Carrera,64.000,997.1,Coupé,189.226,325,0
28,1993,Mercedes-Benz SL 600,55.000,R 129,Cabriolet (Roadster),147.508,394,0
29,2002,Mercedes-Benz CL 600,29.631,C 215,Coupé,63.000,500,0
30,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.000,265,1310
31,1997,Porsche Boxster,21.500,986,Cabriolet (Roadster),148.500,204,1300
32,1960,Mercedes-Benz 220 SE Cabriolet,89.995,W 128,Cabriolet,180.846,120,1400
33,1970,Porsche 911 2,95.000,"""Urmodell""",Coupé,12.400,180,1020
34,2018,Audi RS3 Sportback,39.000,8VA,Limousine (5-Türen),99.000,400,0
