Unnamed: 0,baujahr,name,preis,baureihe,karosserieform,kilometerstand,leistung,gewicht
1,1984,Lancia Beta Coupe 1600,10.500,,Coupé,61.0,100,970
3,1990,Alfa Romeo 75 2,11.500,2a,Limousine (4-Türen),89.943,145,1200
4,1952,MG TD,38.000,,Cabriolet (Roadster),0.0,54,920
11,2000,Porsche 911 Carrera,9.374,996,Coupé,61.211,300,1450
15,1995,Porsche 911 Carrera,107.000,993,Coupé,61.0,272,1450
16,2002,Porsche 911 Carrera 4S,61.000,996,Coupé,108.0,320,1450
17,2003,Porsche 911 Carrera 4S,61.000,996,Coupé,103.0,320,1450
18,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.0,265,1310
19,1997,Porsche Boxster,21.500,986,Cabriolet (Roadster),148.5,204,1300
20,1960,Mercedes-Benz 220 SE Cabriolet,89.995,W 128,Cabriolet,180.846,120,1400
21,1970,Porsche 911 2,95.000,"""Urmodell""",Coupé,12.4,180,1020
25,2007,BMW Z4 ,27.900,E86,Coupé,79.8,265,1485
30,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.0,265,1310
31,1997,Porsche Boxster,21.500,986,Cabriolet (Roadster),148.5,204,1300
32,1960,Mercedes-Benz 220 SE Cabriolet,89.995,W 128,Cabriolet,180.846,120,1400
33,1970,Porsche 911 2,95.000,"""Urmodell""",Coupé,12.4,180,1020
37,2007,BMW Z4 ,27.900,E86,Coupé,79.8,265,1485
46,1972,FIAT 128,4.500,,Limousine (4-Türen),102.468,55,770
47,1948,FIAT 500 Topolino,22.700,,Cabriolet (Limousine),0.0,13,580
52,2016,Porsche 911 Carrera,110.000,991.2,Cabriolet,58.0,370,1500
53,2018,Porsche 911 GT3 Touring,189.000,991.2,Coupé,3.7,500,1430
54,2008,Porsche 911 Carrera 4S,69.000,997.2,Coupé,148.0,385,1555
55,2016,Porsche Macan S Diesel,45.000,95B,Geländewagen,125.0,258,1925
56,2002,Porsche Boxster,29.000,986,Cabriolet (Roadster),94.0,220,1300
57,2000,Porsche Boxster,23.000,986,Cabriolet (Roadster),158.0,220,1300
58,2014,Porsche Cayman,49.000,981c,Coupé,87.0,275,1385
59,2004,Porsche 911 Carrera,49.500,996,Coupé,55.0,320,1450
60,2002,Porsche Boxster,29.000,986,Cabriolet (Roadster),94.0,220,1300
61,2000,Porsche Boxster,23.000,986,Cabriolet (Roadster),158.0,220,1300
62,2014,Porsche Cayman,49.000,981c,Coupé,87.0,275,1385
63,2004,Porsche 911 Carrera,49.500,996,Coupé,55.0,320,1450
64,2004,Porsche Boxster S,41.500,986,Cabriolet (Roadster),76.0,265,1300
65,2016,Porsche 911 Targa 4S,149.000,991.2,Cabriolet (Targa),43.0,420,1520
66,1990,Porsche 911 Carrera 2,103.000,964,Coupé,150.0,250,1400
67,2001,Porsche Boxster S,32.500,986,Cabriolet (Roadster),98.0,252,1300
70,2003,Porsche 911 Carrera,45.000,996,Cabriolet,146.0,320,1300
71,1995,Porsche 911 Carrera,107.000,993,Coupé,61.0,272,1450
72,2002,Porsche 911 Carrera 4S,61.000,996,Coupé,108.0,320,1450
73,2003,Porsche 911 Carrera 4S,61.000,996,Coupé,103.0,320,1450
74,2013,Porsche Boxster,51.000,981,Cabriolet (Roadster),70.0,265,1310
77,1968,Ferrari 330 GTC,675.000,,Coupé,18.608,300,1300
99,2002,Land Rover Defender 90 Td5,41.012,,Geländewagen,101.186,122,1700
100,1977,Triumph Dolomite Sprint,5.859,,Limousine,124.914,127,980
101,1957,Maserati 250F,21.092,,Rennwagen (Offen),0.0,245,600
102,2018,Chevrolet Camaro 6,93.743,Serie VI,Coupé,73.708,453,1650
103,1995,Nissan Skyline GTS25T,14.061,R33,Coupé,148.059,250,1360
106,1954,Jaguar XK 120 OTS,83.950,120,Cabriolet (Roadster),150.018,162,1150
107,1986,Aston Martin V8 Volante,179.950,,Cabriolet,66.668,305,1820
108,1977,Mercedes-Benz 450 SL,21.950,R 107,Cabriolet (Roadster),2.419,182,1650
109,1963,Citroën ID 19,16.950,DM,Limousine (4-Türen),17.596,74,1150
110,1968,Triumph TR 250,43.950,,Cabriolet,65.547,105,1030
111,1989,Mercedes-Benz 500 SL,29.950,R 129,Cabriolet (Roadster),177.573,326,1870
112,1970,FIAT 500 L,16.950,,Limousine (2-Türen),66.278,18,520
113,1997,Ferrari 550 Maranello,150.000,,Coupé,74.804,485,1690
114,1959,Maserati 3500 GT Touring,99.950,,Coupé,44.936,220,1460
121,1954,Jaguar XK 120 OTS,83.950,120,Cabriolet (Roadster),150.018,162,1150
122,1986,Aston Martin V8 Volante,179.950,,Cabriolet,66.668,305,1820
123,1977,Mercedes-Benz 450 SL,21.950,R 107,Cabriolet (Roadster),2.419,182,1650
124,1963,Citroën ID 19,16.950,DM,Limousine (4-Türen),17.596,74,1150
125,1968,Triumph TR 250,43.950,,Cabriolet,65.547,105,1030
126,1989,Mercedes-Benz 500 SL,29.950,R 129,Cabriolet (Roadster),177.573,326,1870
127,1970,FIAT 500 L,16.950,,Limousine (2-Türen),66.278,18,520
128,1997,Ferrari 550 Maranello,150.000,,Coupé,74.804,485,1690
129,1959,Maserati 3500 GT Touring,99.950,,Coupé,44.936,220,1460
